Attaching 2 probes...
start: 186573363314582
domain: WRITE, depth: 1, timestamp: 187045448011714
domain: WRITE, depth: 2, timestamp: 187045552007953
domain: WRITE, depth: 1, timestamp: 187045864011773
domain: WRITE, depth: 2, timestamp: 187045968011793
domain: WRITE, depth: 1, timestamp: 187046176010467
domain: WRITE, depth: 2, timestamp: 187046284008467
domain: WRITE, depth: 1, timestamp: 187046492012428
domain: WRITE, depth: 2, timestamp: 187046596011417
domain: WRITE, depth: 1, timestamp: 187046804012584
domain: WRITE, depth: 2, timestamp: 187046908008473
domain: WRITE, depth: 1, timestamp: 187047120012704
domain: WRITE, depth: 2, timestamp: 187047224012063
domain: WRITE, depth: 1, timestamp: 187047744009293
domain: WRITE, depth: 2, timestamp: 187047852008756
domain: WRITE, depth: 1, timestamp: 187048168011031
domain: WRITE, depth: 2, timestamp: 187048272010631
domain: WRITE, depth: 1, timestamp: 187048688011577
domain: WRITE, depth: 2, timestamp: 187048792011605
domain: WRITE, depth: 1, timestamp: 187049520011061
domain: WRITE, depth: 2, timestamp: 187049624011922
domain: WRITE, depth: 1, timestamp: 187049832012072
domain: WRITE, depth: 2, timestamp: 187049936008928
domain: WRITE, depth: 1, timestamp: 187050768011388
domain: WRITE, depth: 2, timestamp: 187050872011506
domain: WRITE, depth: 1, timestamp: 187051080011098
domain: WRITE, depth: 2, timestamp: 187051184011975
domain: WRITE, depth: 1, timestamp: 187051600011787
domain: WRITE, depth: 2, timestamp: 187051704011755
domain: WRITE, depth: 1, timestamp: 187051912013022
domain: WRITE, depth: 2, timestamp: 187052016010892
domain: WRITE, depth: 1, timestamp: 187052224008573
domain: WRITE, depth: 2, timestamp: 187052328012442
domain: WRITE, depth: 1, timestamp: 187052744011227
domain: WRITE, depth: 2, timestamp: 187052848010144
domain: WRITE, depth: 1, timestamp: 187053056009034
domain: WRITE, depth: 2, timestamp: 187053160009989
domain: WRITE, depth: 1, timestamp: 187053368011696
domain: WRITE, depth: 2, timestamp: 187053472008065
domain: WRITE, depth: 1, timestamp: 187053680009279
domain: WRITE, depth: 2, timestamp: 187053788009122
domain: WRITE, depth: 1, timestamp: 187053996013165
domain: WRITE, depth: 2, timestamp: 187054100012217
domain: WRITE, depth: 1, timestamp: 187054412011332
domain: WRITE, depth: 2, timestamp: 187054516011211
domain: WRITE, depth: 1, timestamp: 187054724010002
domain: WRITE, depth: 2, timestamp: 187054828011127
domain: WRITE, depth: 1, timestamp: 187055452011645
domain: WRITE, depth: 2, timestamp: 187055556011897
domain: WRITE, depth: 1, timestamp: 187055868009488
domain: WRITE, depth: 2, timestamp: 187055972008552
domain: WRITE, depth: 1, timestamp: 187056284008787
domain: WRITE, depth: 2, timestamp: 187056388013797
domain: WRITE, depth: 1, timestamp: 187056908012855
domain: WRITE, depth: 2, timestamp: 187057012011539
domain: WRITE, depth: 1, timestamp: 187057532011968
domain: WRITE, depth: 2, timestamp: 187057636008459
domain: WRITE, depth: 1, timestamp: 187057844009153
domain: WRITE, depth: 2, timestamp: 187057952009217
domain: WRITE, depth: 1, timestamp: 187058264011783
domain: WRITE, depth: 2, timestamp: 187058368011870
domain: WRITE, depth: 1, timestamp: 187058888010576
domain: WRITE, depth: 2, timestamp: 187058992009133
domain: WRITE, depth: 1, timestamp: 187059412011438
domain: WRITE, depth: 2, timestamp: 187059516011026
domain: WRITE, depth: 1, timestamp: 187059932011104
domain: WRITE, depth: 2, timestamp: 187060036008763
domain: WRITE, depth: 1, timestamp: 187061288010406
domain: WRITE, depth: 2, timestamp: 187061392009322
domain: WRITE, depth: 1, timestamp: 187061704011482
domain: WRITE, depth: 2, timestamp: 187061808011596
domain: WRITE, depth: 1, timestamp: 187062432012474
domain: WRITE, depth: 2, timestamp: 187062536008753
domain: WRITE, depth: 1, timestamp: 187063784013312
domain: WRITE, depth: 2, timestamp: 187063888011732
domain: WRITE, depth: 1, timestamp: 187064200011044
domain: WRITE, depth: 2, timestamp: 187064304008845
domain: WRITE, depth: 1, timestamp: 187064720007774
domain: WRITE, depth: 2, timestamp: 187064824008542
domain: WRITE, depth: 1, timestamp: 187065032009573
domain: WRITE, depth: 2, timestamp: 187065136011831
domain: WRITE, depth: 1, timestamp: 187065968011296
domain: WRITE, depth: 2, timestamp: 187066072009989
domain: WRITE, depth: 1, timestamp: 187066384010941
domain: WRITE, depth: 2, timestamp: 187066488009244
domain: WRITE, depth: 1, timestamp: 187066696011072
domain: WRITE, depth: 2, timestamp: 187066800010441
domain: WRITE, depth: 1, timestamp: 187067008007787
domain: WRITE, depth: 2, timestamp: 187067116010331
domain: WRITE, depth: 1, timestamp: 187067324012612
domain: WRITE, depth: 2, timestamp: 187067428010056
domain: WRITE, depth: 1, timestamp: 187067844009859
domain: WRITE, depth: 2, timestamp: 187067948011699
domain: WRITE, depth: 1, timestamp: 187068676011063
domain: WRITE, depth: 2, timestamp: 187068780009275
domain: WRITE, depth: 1, timestamp: 187069092009442
domain: WRITE, depth: 2, timestamp: 187069200008127
domain: WRITE, depth: 1, timestamp: 187069408010851
domain: WRITE, depth: 2, timestamp: 187069512010754
domain: WRITE, depth: 1, timestamp: 187069824011054
domain: WRITE, depth: 2, timestamp: 187069932008611
domain: WRITE, depth: 1, timestamp: 187070244008599
domain: WRITE, depth: 2, timestamp: 187070348008297
domain: WRITE, depth: 1, timestamp: 187070556009069
domain: WRITE, depth: 2, timestamp: 187070660009833
domain: WRITE, depth: 1, timestamp: 187070972009151
domain: WRITE, depth: 2, timestamp: 187071076011518
domain: WRITE, depth: 1, timestamp: 187071908011054
domain: WRITE, depth: 2, timestamp: 187072012008548
domain: WRITE, depth: 1, timestamp: 187072220010734
domain: WRITE, depth: 2, timestamp: 187072324010978
domain: WRITE, depth: 1, timestamp: 187072636011854
domain: WRITE, depth: 2, timestamp: 187072740011653
domain: WRITE, depth: 1, timestamp: 187072948013730
domain: WRITE, depth: 2, timestamp: 187073052008422
domain: WRITE, depth: 1, timestamp: 187073260011765
domain: WRITE, depth: 2, timestamp: 187073364008909
domain: WRITE, depth: 1, timestamp: 187073572009239
domain: WRITE, depth: 2, timestamp: 187073676007725
domain: WRITE, depth: 1, timestamp: 187074096009418
domain: WRITE, depth: 2, timestamp: 187074200008252
domain: WRITE, depth: 1, timestamp: 187074512012443
